iteracao,y_hat_mistakes,y_hat_syntax
247,[2 0 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 4 4 4 4 3 3 4 3 2 4 2 4 3 2]
248,[2 0 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 3 3 4 3 3 4 2 4 3 2]
249,[2 0 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 4 3 4 4 3 3 4 2 4 3 2]
250,[2 0 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 3 2 2 3 3 4 4 4 4 4 4 4 4 4 4 4 3 3 4 2 4 4 2]
251,[2 0 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 4 3 4 4 4 4 4 4 4 4 4 4 4 4 3 4 2 4 4 3]
252,[2 0 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 3 2 2 3 3 4 4 4 4 4 4 4 4 4 4 4 4 3 4 3 4 4 2]
253,[2 0 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 3 2 3 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 4 2 4 4 2]
254,[2 0 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 3 2 3 2 2 3 3 4 4 4 4 4 4 4 4 4 4 4 4 3 4 2 4 4 3]
255,[2 0 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 3 2 2 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 2]
256,[2 0 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 3 2 3 2 2 3 4 4 4 4 4 4 4 4 4 4 4 4 4 3 4 2 4 4 3]
257,[2 0 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 3 2 2 3 3 4 4 4 4 4 4 4 4 4 4 4 4 3 4 2 4 4 3]
258,[2 0 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 3 2 2 4 3 4 4 4 4 4 4 4 4 4 4 4 4 3 4 3 4 4 3]
259,[2 0 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 3 2 3 2 2 4 3 4 4 4 4 4 4 4 4 4 4 4 4 3 4 2 4 4 3]
260,[2 0 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 3 2 3 2 2 3 4 4 4 4 4 4 4 4 4 4 4 4 4 3 4 2 4 4 3]
261,[2 1 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 3 2 3 2 2 3 3 4 3 4 4 4 4 4 4 4 4 4 3 4 4 2 4 4 3]
262,[2 0 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 3 2 3 2 2 3 3 4 4 4 4 4 4 4 4 4 4 4 4 3 4 2 4 4 3]
263,[2 0 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 3 2 3 2 2 3 3 4 4 4 4 4 4 4 4 4 4 4 4 3 4 2 4 4 3]
264,[2 0 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 3 2 3 2 2 4 3 4 4 4 4 4 4 4 4 4 4 4 4 4 3 2 4 4 3]
265,[2 0 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 3 2 2 3 3 4 4 4 4 4 4 4 4 4 4 4 3 4 4 2 4 4 3]
266,[2 0 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 3 2 3 2 2 3 3 4 4 4 4 4 4 4 4 3 4 4 4 3 4 2 4 4 3]
267,[2 0 2 1 2 0 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 4 4 4 4 4 4 4 3 4 4 3 3 4 2 4 3 3]
268,[0 0 1 1 2 0 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 4 3 4 4 3 3 3 2 4 4 2]
269,[1 0 1 1 2 0 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 3 3 3 4 3 3 4 2 4 3 2]
270,[2 0 1 1 2 0 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 3 3 3 4 3 3 3 2 4 3 2]
271,[2 0 2 1 2 0 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 3 4 4 3 3 3 4 3 3 3 2 4 3 2]
272,[2 1 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 2 4 3 4 4 4 4 4 3 3 3 4 3 3 3 2 4 3 2]
273,[2 0 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 3 3 3 4 3 3 3 2 4 3 2]
274,[2 0 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 3 3 3 4 3 3 3 2 4 3 2]
275,[2 1 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 3 4 4 3 3 3 4 3 3 3 2 4 3 2]
276,[2 1 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 3 3 3 4 3 3 3 2 4 3 3]
277,[2 1 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 3 4 4 3 3 3 4 3 3 4 2 4 3 2]
278,[2 1 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 3 2 2 3 3 4 3 4 4 4 4 4 3 3 3 4 3 3 3 2 4 3 3]
279,[2 1 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 3 2 2 3 3 4 3 4 4 4 4 4 4 4 3 4 3 3 3 2 4 3 3]
280,[2 1 2 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 3 2 2 3 3 4 3 4 4 4 4 4 3 3 3 4 3 3 3 2 4 3 2]
281,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 4 4 4 4 4 4 4 3 4 4 3 3 4 2 4 3 3]
282,[2 1 2 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 3 3 4 4 3 3 3 2 4 4 3]
283,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 3 2 3 2 2 3 3 4 4 4 4 4 4 4 4 4 4 4 4 3 4 2 4 4 3]
284,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 3 2 3 2 2 4 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 3]
285,[2 1 2 1 2 1 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 3 2 3 2 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 3]
286,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 3 2 3 2 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 4 4 3]
287,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 3 2 2],[2 2 4 2 4 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3]
288,[2 1 2 2 2 1 2 2 3 3 2 3 2 3 2 2 2 2 2 2 2 2 2 2 3 2 2],[2 2 4 3 4 2 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 4 4 4]
289,[2 1 2 2 2 1 2 2 2 3 2 3 3 3 3 3 2 2 2 2 2 2 2 2 3 2 2],[3 2 4 3 4 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
290,[2 1 2 2 2 1 2 2 3 3 2 3 2 3 3 3 2 2 2 2 2 2 2 2 3 3 2],[3 2 4 2 3 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 4 4 4]
291,[2 1 2 2 2 1 2 2 2 3 3 3 3 3 3 2 2 2 2 3 2 2 2 2 3 3 2],[3 2 4 3 4 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
292,[2 1 2 2 2 1 2 2 2 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 3 2 2],[3 2 4 3 4 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
293,[2 1 2 1 2 1 2 2 2 3 2 2 2 3 3 2 2 2 3 3 2 3 2 2 3 3 2],[3 2 4 3 4 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
294,[2 1 2 1 2 1 2 2 2 3 2 3 2 3 3 2 2 2 2 2 2 2 2 2 3 2 2],[3 2 4 3 4 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
295,[2 1 2 1 2 1 2 3 2 2 2 2 2 2 3 3 2 2 2 2 2 2 2 2 3 3 2],[3 2 4 3 4 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
296,[2 1 2 1 2 1 2 2 2 3 2 3 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2],[3 2 4 3 4 2 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
297,[2 1 2 1 2 0 2 2 3 2 2 2 2 3 3 2 2 2 2 2 2 2 2 2 2 3 2],[3 2 4 2 4 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
298,[2 1 2 1 2 1 2 2 2 3 2 2 3 2 2 2 2 2 2 3 2 2 2 2 3 2 2],[3 2 4 2 4 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
299,[2 1 2 1 2 1 2 2 2 3 2 3 2 2 3 3 2 2 2 2 2 1 2 2 3 2 2],[2 2 4 2 4 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
300,[2 1 2 1 2 1 1 2 2 3 2 3 2 2 3 3 2 2 2 3 2 2 2 2 3 2 2],[2 2 4 2 3 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 4 4 3]
301,[2 1 1 1 2 1 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 3 2 2],[2 2 4 2 3 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 4 4 3]
302,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 3 1 2],[2 2 4 2 4 2 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3]
303,[2 1 2 1 2 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2],[2 2 3 2 3 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 4 4 3]
304,[2 1 1 1 2 0 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2],[2 2 3 2 3 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 4 4 3]
305,[2 1 1 1 2 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2],[2 2 3 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 3]
306,[2 1 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 3 2 3 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 3]
307,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 3 2 3 2 2 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 3]
308,[2 1 1 1 2 0 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2],[2 2 3 2 3 2 2 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 2]
309,[2 1 1 1 2 0 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 4 4 4 4 4 4 4 4 4 4 4 3 4 2 4 4 2]
310,[1 1 1 1 2 0 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2],[2 2 2 2 2 2 2 3 3 4 4 4 4 4 4 4 4 4 4 4 4 3 4 2 4 4 2]
311,[2 1 1 1 1 0 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 4 3 4 4 4 4 4 4 4 4 4 4 4 4 3 4 2 4 4 2]
312,[2 1 1 1 2 0 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 4 4 4 4 4 4 4 4 4 4 3 4 4 2 4 4 2]
313,[1 1 1 1 1 0 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 4 4 4 4 4 3 4 2 4 4 2]
314,[1 0 1 1 2 0 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 1 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 4 4 4 4 3 3 4 2 4 3 2]
315,[1 1 1 1 1 0 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 4 3 4 4 3 3 4 2 4 3 2]
316,[1 1 1 1 2 0 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 4 3 3 4 3 3 3 2 4 4 2]
317,[2 1 1 1 2 0 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 2 4 3 4 4 4 4 4 3 3 3 4 3 2 3 2 4 3 2]
318,[2 1 1 1 2 0 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 4 4 4 3 3 4 4 3 3 3 2 4 3 2]
319,[2 1 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 4 4 4 3 3 3 4 3 2 4 2 4 3 2]
320,[1 1 1 1 2 0 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 3 4 3 4 4 4 4 3 3 3 4 4 2 3 4 2 4 4 2]
321,[2 1 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 4 4 3 3 2 3 4 2 2 3 2 4 3 2]
322,[2 1 2 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 4 4 4 4 2 3 4 2 2 4 2 4 3 2]
323,[2 1 2 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 3 4 3 4 4 4 4 4 4 3 3 4 3 3 4 2 4 3 2]
324,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 3 4 3 4 4 4 4 4 3 3 3 4 3 3 4 2 4 3 2]
325,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 3 4 3 4 4 4 4 4 4 3 4 4 3 3 3 2 4 4 2]
326,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 3 2 2 3 3 4 3 4 4 4 4 4 4 4 4 4 3 3 4 2 4 3 2]
327,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 4 3 4 4 3 3 3 2 4 4 2]
328,[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 2 4 3 4 4 4 4 4 4 3 4 4 3 3 4 2 4 4 2]
329,[2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 3 4 3 4 4 4 4 4 3 4 3 4 3 3 3 2 4 3 2]
330,[2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 4 3 4 4 3 3 4 2 4 3 2]
331,[2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 3 4 3 4 3 3 4 2 4 4 2]
332,[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 4 3 3 4 3 3 3 2 4 4 3]
333,[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 3 2 2 3 3 4 4 4 4 4 4 4 4 4 3 4 3 3 3 2 4 3 2]
334,[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 3 4 4 4 3 3 3 2 4 3 3]
335,[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 4 4 4 4 3 3 4 2 4 3 2]
336,[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 4 4 4 4 3 3 3 2 4 4 2]
337,[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 3 4 3 4 3 3 4 2 4 3 3]
338,[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 3 2 2 3 3 4 3 4 4 4 4 4 3 3 3 4 3 3 4 2 4 3 3]
339,[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 2 4 3 4 4 4 4 4 3 3 3 4 3 3 3 2 4 3 2]
340,[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 3 4 4 3 3 4 4 3 3 3 2 4 3 2]
341,[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 2 4 3 4 4 3 4 4 4 3 3 4 3 2 3 2 4 3 2]
342,[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 2 4 3 4 4 3 4 4 4 3 3 4 3 3 3 2 4 3 2]
343,[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 2 4 3 4 4 4 4 4 3 3 3 4 3 3 3 2 4 2 2]
344,[2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 3 3 3 4 2 3 3 2 4 3 2]
345,[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 3 4 4 3 3 3 4 2 2 3 2 4 3 2]
346,[2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 3 4 3 4 4 3 4 4 3 3 3 4 2 3 3 2 4 3 2]
347,[2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 3 4 3 3 3 3 4 2 3 3 2 4 2 2]
348,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 4 4 3 3 3 3 4 2 2 3 2 4 3 2]
349,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 3 3 4 4 3 4 4 3 2 3 4 2 2 3 2 4 2 2]
350,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 2 4 3 4 4 3 4 3 3 2 3 3 2 2 3 2 4 3 2]
351,[2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 3 2 4 4 3 4 3 3 3 3 4 2 2 3 2 4 2 2]
352,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 3 3 4 4 3 4 3 3 3 3 4 2 3 3 2 4 3 2]
353,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 3 2 4 4 3 4 3 3 3 3 4 2 2 3 2 4 2 2]
354,[2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 3 2 4 4 3 4 3 3 2 3 3 2 2 3 2 4 2 2]
355,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 3 3 4 4 3 4 3 3 2 2 4 2 2 3 2 4 2 2]
356,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 3 2 4 4 3 4 3 3 2 2 4 2 2 3 2 4 2 2]
357,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 3 2 4 4 3 4 3 3 2 2 4 2 2 3 2 4 2 2]
358,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 3 2 4 4 3 4 3 3 2 2 4 2 2 3 2 4 2 2]
359,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 3 2 4 4 3 4 3 3 2 2 4 2 2 3 2 4 3 2]
360,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 3 2 4 4 3 4 3 3 2 3 4 2 3 3 2 4 3 2]
361,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 3 3 4 4 3 4 3 3 3 3 4 2 2 3 2 4 3 2]
362,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 3 3 4 4 3 4 4 3 3 3 4 2 2 3 2 4 3 2]
363,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 4 4 4 3 2 3 4 2 3 3 2 4 3 2]
364,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 2 4 4 3 4 4 3 3 3 4 2 2 3 2 4 2 2]
365,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 3 3 4 4 3 4 3 3 2 3 4 3 2 3 2 4 3 2]
366,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 3 2 4 4 3 4 3 3 3 3 4 3 2 3 2 4 2 2]
367,[2 0 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 3 4 4 3 2 2 4 2 3 3 2 4 2 2]
368,[2 0 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 3 2 4 4 4 4 3 3 2 3 4 2 2 3 2 4 2 2]
369,[2 0 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 3 3 4 4 3 4 3 3 3 2 4 2 2 3 2 4 3 2]
